Date,Open,High,Low,Close,Volume,Adj Close
2017-02-28,118.67,118.67,117.35,117.728,1300,114.6258
2017-02-27,119.999,119.999,118.00,118.241,600,115.1253
2017-02-24,121.00,121.065,118.668,119.16,500,116.0201
2017-02-23,121.417,121.417,118.94,120.55,2500,117.3735
2017-02-22,119.989,121.363,119.989,121.055,500,117.8652
2017-02-21,118.99,120.311,118.99,119.677,600,116.5235
2017-02-17,117.365,120.50,117.301,119.939,1000,116.7786
2017-02-16,116.582,117.50,116.582,117.50,400,114.4038
2017-02-15,116.508,116.70,116.00,116.00,200,112.9434
2017-02-14,115.644,117.10,115.644,115.994,2500,112.9375
2017-02-13,115.132,115.95,115.132,115.55,300,112.5052
2017-02-10,116.24,116.41,114.95,115.132,700,112.0982
2017-02-09,115.50,116.347,115.40,115.95,500,112.8947
2017-02-08,112.869,115.419,112.705,115.20,200,112.1644
2017-02-07,111.487,113.40,111.487,113.40,100,110.4119
2017-02-06,112.014,113.10,111.65,111.848,4300,108.9008
2017-02-03,112.823,113.337,112.823,113.05,100,110.0711
2017-02-02,111.325,113.10,111.00,113.00,400,110.0224
2017-02-01,113.006,113.006,111.325,111.325,400,108.3916
2017-01-31,113.821,113.821,112.877,112.877,300,109.9027
2017-01-30,114.95,114.95,113.51,113.51,1000,110.519
2017-01-27,114.345,116.00,114.345,115.584,1500,112.5383
2017-01-26,114.675,115.15,113.97,114.754,500,111.7302
2017-01-25,112.698,115.156,112.698,115.14,800,112.106
2017-01-24,112.748,113.10,112.499,113.10,200,110.1198
2017-01-23,112.785,113.15,111.20,112.688,1200,109.7186
2017-01-20,113.234,113.234,112.785,112.785,000,109.8131
2017-01-19,114.492,114.492,113.25,113.666,200,110.6709
2017-01-18,114.332,115.39,114.332,114.948,200,111.9191
2017-01-17,114.885,114.885,114.04,114.768,200,111.7438
2017-01-13,113.833,113.90,113.611,113.783,600,110.7848
2017-01-12,114.184,114.184,113.80,113.80,400,110.8013
2017-01-11,111.92,113.957,111.711,113.957,600,110.9542
2017-01-10,114.037,114.75,112.20,112.729,3400,109.7586
2017-01-09,113.572,114.443,113.33,114.199,900,111.1898
2017-01-06,113.33,113.50,113.20,113.30,400,110.3145
2017-01-05,113.009,113.792,112.201,113.55,500,110.5579
